number,value,datetime_start,datetime_complete,duration,params_dimensions,params_lr,params_num_neg,params_num_walks,params_p,params_q,params_walk_length,params_window,user_attrs_hit@10,user_attrs_hit@20,user_attrs_hit@5,state
2,0.08103339374446927,2026-02-26 11:56:57.563113,2026-02-26 12:01:30.851755,0 days 00:04:33.288642,256,0.001814475355142363,10,20,1.161716564278439,0.4234289085267927,10,7,0.26357842670978787,0.400266336916199,0.13944639969561495,COMPLETE
0,0.0846851935028917,2026-02-26 11:55:07.593986,2026-02-26 11:55:39.294936,0 days 00:00:31.700950,64,0.0025211587492786347,4,5,1.0373150765923207,1.5412795746887618,10,15,0.27004660896033483,0.39836393037192047,0.14724626652715686,COMPLETE
1,0.08474850915095776,2026-02-26 11:55:40.239458,2026-02-26 11:56:56.730446,0 days 00:01:16.490988,256,0.0018858795227188084,6,5,0.41228078573588645,0.34666334379855035,15,5,0.2651003519452107,0.3909445448492343,0.144487777037953,COMPLETE
