number,value,datetime_start,datetime_complete,duration,params_dimensions,params_epochs,params_lr,params_num_neg,params_num_walks,params_p,params_q,params_walk_length,params_window,user_attrs_hit@10,user_attrs_hit@20,user_attrs_hit@5,state
0,0.0902856384196659,2026-02-26 11:41:51.864603,2026-02-26 11:43:13.881826,0 days 00:01:22.017223,128,3,0.0010494648780282167,7,15,2.679281942530053,0.7683868865215424,15,14,0.30156918687589157,0.4358535425582501,0.16386115073704233,COMPLETE
1,0.09072165925835353,2026-02-26 11:43:15.216438,2026-02-26 11:44:05.200440,0 days 00:00:49.984002,64,6,0.002765278720383318,10,15,0.8012364347600932,1.361007999975822,15,4,0.2819781264859724,0.42206371849738467,0.15187826913932478,COMPLETE
2,0.09509379515217788,2026-02-26 11:44:06.438829,2026-02-26 11:45:05.442463,0 days 00:00:59.003634,128,9,0.0018547577738114197,10,5,0.9320229542837416,0.37672606702385003,35,3,0.2605801236329054,0.39400855920114125,0.1431288635282929,COMPLETE
3,0.08645109644923363,2026-02-26 11:45:06.257646,2026-02-26 11:46:10.942269,0 days 00:01:04.684623,64,3,0.0051219506799563014,4,10,0.42249970412699916,3.1429595771510934,35,6,0.2823585354255825,0.42501188777936283,0.14655254398478365,COMPLETE
4,0.08375309104272459,2026-02-26 11:46:11.918486,2026-02-26 11:49:06.029927,0 days 00:02:54.111441,256,6,0.0022294130863853767,5,10,0.5208052526787754,0.8412443613275136,20,15,0.294151212553495,0.4396576319543509,0.14103661436043746,COMPLETE
5,0.0891916634865338,2026-02-26 11:49:06.993946,2026-02-26 11:50:08.827219,0 days 00:01:01.833273,64,5,0.007574865182519452,7,5,0.3797547381672299,0.7271764464229379,30,11,0.3165953399904898,0.46562054208273895,0.15786970993818356,COMPLETE
