number,value,datetime_start,datetime_complete,duration,params_dimensions,params_lr,params_num_neg,params_num_walks,params_p,params_q,params_walk_length,params_window,user_attrs_hit@10,user_attrs_hit@20,user_attrs_hit@5,state
0,0.2061302049654536,2026-02-26 13:30:21.395888,2026-02-26 13:31:31.224573,0 days 00:01:09.828685,256,0.0036902251604444625,12,15,0.5766945171337404,0.3628588550461219,45,3,0.40600931824664827,0.47703717790244365,0.312161262717505,COMPLETE
1,0.18649585324027107,2026-02-26 13:31:32.119998,2026-02-26 13:32:05.580951,0 days 00:00:33.460953,384,0.004824659643365929,12,5,0.7407031733951793,0.5842305924330008,35,7,0.365598554720928,0.4461348293239517,0.27764571645906627,COMPLETE
2,0.18671769341644986,2026-02-26 13:32:06.433713,2026-02-26 13:33:07.320342,0 days 00:01:00.886629,384,0.0057969445810035075,9,15,0.6796008970949688,0.2458403233935855,30,5,0.3867072359037748,0.474469905866692,0.28278026053056954,COMPLETE
3,0.19660452541716664,2026-02-26 13:33:08.251441,2026-02-26 13:34:12.411122,0 days 00:01:04.159681,512,0.0037704054107622997,11,15,0.7614313525604938,0.4568815097130998,35,3,0.39060568603213847,0.4642008177236855,0.3012265855281924,COMPLETE
4,0.1862500189232933,2026-02-26 13:34:13.276987,2026-02-26 13:34:57.002921,0 days 00:00:43.725934,384,0.004750325113299943,11,15,1.0619342867093575,0.23606291336906904,30,4,0.3628411143862318,0.4293049348673576,0.27869164210326136,COMPLETE
5,0.1871106407130917,2026-02-26 13:34:57.848921,2026-02-26 13:36:06.037215,0 days 00:01:08.188294,384,0.0038154457506815818,9,15,0.5613823239057649,0.29938846424100335,50,4,0.38214319672910524,0.4778929352476942,0.27783588475801085,COMPLETE
6,0.190778551918077,2026-02-26 13:36:06.934246,2026-02-26 13:37:05.918526,0 days 00:00:58.984280,256,0.002112723730803681,11,10,0.6684306025094734,0.5954877453248699,30,4,0.3712085195397927,0.4395740230103642,0.2877246363031283,COMPLETE
