number,value,datetime_start,datetime_complete,duration,params_dimensions,params_lr,params_num_neg,params_num_walks,params_p,params_q,params_walk_length,params_window,user_attrs_hit@10,user_attrs_hit@20,user_attrs_hit@5,state
16,0.1923018869901312,2026-02-26 12:56:49.813938,2026-02-26 12:57:31.658539,0 days 00:00:41.844601,128,0.0035179332382095302,10,5,0.5496179578259982,0.3541575667291898,35,4,0.3926094803837751,0.4692694974826636,0.2940058896171749,COMPLETE
17,0.17926131214270707,2026-02-26 13:02:26.820773,2026-02-26 13:03:30.238299,0 days 00:01:03.417526,128,0.003509251572216744,10,5,0.5180574076200981,0.3500008394981769,35,5,0.3651397072799848,0.4553316859912564,0.27010074130393463,COMPLETE
18,0.1935850048753848,2026-02-26 13:05:51.465583,2026-02-26 13:07:10.232537,0 days 00:01:18.766954,256,0.001485475850433561,10,5,0.8595242483734821,0.3423754601155012,35,4,0.3957046469637936,0.47457949254015014,0.2980138743704267,COMPLETE
19,0.19491183847839655,2026-02-26 13:07:11.132310,2026-02-26 13:08:25.857700,0 days 00:01:14.725390,256,0.001573101267634053,10,5,0.7549858654362853,0.32919729173140205,35,4,0.40121638316069563,0.4816117076879217,0.3013399220754538,COMPLETE
20,0.1749534274219767,2026-02-26 13:08:26.805539,2026-02-26 13:09:42.895175,0 days 00:01:16.089636,256,0.0014040289592909382,9,10,0.8580177438801319,0.3641880606093889,35,4,0.3670056067661313,0.44892141024422694,0.2657036966644493,COMPLETE
21,0.18943850869964776,2026-02-26 13:09:43.817997,2026-02-26 13:10:29.336335,0 days 00:00:45.518338,256,0.0016720959696706896,10,5,0.435393970042053,0.3235866121710299,35,4,0.37888434856979947,0.45196236814596596,0.289841300009503,COMPLETE
22,0.19166949135685982,2026-02-26 13:10:30.764301,2026-02-26 13:11:16.515309,0 days 00:00:45.751008,256,0.0016895776807935984,10,5,0.7230618513823646,0.35004560411193464,35,4,0.38591656371757105,0.4610852418511831,0.292312078304666,COMPLETE
23,0.18994985600679334,2026-02-26 13:11:17.478530,2026-02-26 13:12:03.436839,0 days 00:00:45.958309,256,0.0018757181057238927,10,5,0.3886446537458355,0.40494361570147264,40,3,0.38363584529126676,0.4578542240805854,0.29117171909151385,COMPLETE
24,0.18245312054422128,2026-02-26 13:12:04.387790,2026-02-26 13:13:05.060907,0 days 00:01:00.673117,128,0.0029153143006173674,9,10,0.7470514574006811,0.2910500233286622,30,4,0.37612848047134845,0.4621305711299059,0.27739237859925875,COMPLETE
25,0.180936258515961,2026-02-26 13:13:06.064361,2026-02-26 13:14:19.019956,0 days 00:01:12.955595,256,0.0013474983266095755,8,5,0.4972706292529406,0.7075320554089624,35,4,0.37612848047134845,0.4587094934904495,0.2778675282714055,COMPLETE
26,0.18351485149776875,2026-02-26 13:14:19.836389,2026-02-26 13:15:10.907484,0 days 00:00:51.071095,128,0.002912465227737981,10,5,1.4496043480424639,1.0705290883721041,40,3,0.37622351040577784,0.4557635655231398,0.2779625582058348,COMPLETE
27,0.19575105710620522,2026-02-26 13:15:11.866644,2026-02-26 13:15:59.589439,0 days 00:00:47.722795,256,0.003940135640829693,9,10,1.0051425123452327,0.4350201276240759,30,4,0.37565333079920177,0.44188919509645536,0.29269219804238333,COMPLETE
28,0.18493018436554035,2026-02-26 13:16:00.488128,2026-02-26 13:16:51.547475,0 days 00:00:51.059347,256,0.004009599223792929,9,10,0.8863147421954263,0.6142219138795914,30,3,0.39057303050460895,0.4758148816877316,0.28489974341917707,COMPLETE
29,0.18883071813090252,2026-02-26 13:16:52.393223,2026-02-26 13:18:10.239340,0 days 00:01:17.846117,256,0.0013531662840004098,8,10,1.4635727731283625,0.448363773396624,25,4,0.39560961702936426,0.4727739237859926,0.292597168107954,COMPLETE
30,0.18035333203916198,2026-02-26 13:18:11.194836,2026-02-26 13:19:30.509134,0 days 00:01:19.314298,256,0.0010333210691571505,9,10,1.044670498503775,0.7831825252189162,40,5,0.3694763850612943,0.4480661408343628,0.2753967499762425,COMPLETE
31,0.20070446706267334,2026-02-26 13:19:31.390738,2026-02-26 13:20:08.932899,0 days 00:00:37.542161,256,0.0039826968534320915,10,5,0.7202828974244762,0.2964334801696243,35,4,0.3977953055212392,0.4667870379169438,0.3059963888624917,COMPLETE
32,0.20774367826595053,2026-02-26 13:20:09.829559,2026-02-26 13:20:47.919183,0 days 00:00:38.089624,256,0.0043116641586423265,10,5,0.7634669235654831,0.2834956054117,35,4,0.40986410719376604,0.48275206690107386,0.3123633944692578,COMPLETE
33,0.20178213669495196,2026-02-26 13:20:48.884653,2026-02-26 13:21:24.815339,0 days 00:00:35.930686,256,0.004339054589927599,9,5,0.7141019301498444,0.2506667289517162,30,4,0.39751021571795114,0.46498146916278627,0.30713674807564384,COMPLETE
34,0.19141943249295537,2026-02-26 13:21:25.806128,2026-02-26 13:22:17.179255,0 days 00:00:51.373127,256,0.004384597763640376,8,10,0.6535224215466827,0.27730250397310424,30,4,0.3803097975862397,0.45186733821153663,0.2912667490259432,COMPLETE
35,0.19726070075798535,2026-02-26 13:22:18.191692,2026-02-26 13:22:48.978761,0 days 00:00:30.787069,256,0.005812703772543352,9,5,1.4188460815637463,0.26054968714839233,25,4,0.3930438087997719,0.46726218758909055,0.3012448921410244,COMPLETE
36,0.18988182176936613,2026-02-26 13:22:49.842859,2026-02-26 13:23:26.222200,0 days 00:00:36.379341,256,0.005759504868478622,8,5,1.9154287179261025,0.25417938547191377,20,3,0.3841109949634135,0.45794925401501474,0.29107668915708446,COMPLETE
37,0.17231011665003582,2026-02-26 13:23:27.071464,2026-02-26 13:23:54.735053,0 days 00:00:27.663589,64,0.006130838452971891,7,5,1.284178953638406,3.4787627337699205,25,4,0.35845291266749024,0.43970350660458046,0.2652285469923026,COMPLETE
38,0.19468993978226098,2026-02-26 13:23:55.600541,2026-02-26 13:24:22.268588,0 days 00:00:26.668047,256,0.0046579980837806855,9,5,1.7063319721529449,0.2988192669019928,10,5,0.3915233298489024,0.4597548227691723,0.2988691437802908,COMPLETE
